Jantina,Status,Negeri,Salary,House,Years,Housesize,kitchensize,Pecah_dinding,flooring,flooring work,flooring_material,siling,Siling_material,Kabinet Dapur,Design_Cabinet,Jenis_Cabinet,saizbaseunit(ft),saizwallunit(ft),Saiztinggibaseunit(ft),Saiztinggiwallunit (ft),saiz tall cabinet (ft),Buitin_cabinet,materia_pintukabinet,material_handle,countertop,Materialcountertop,backsplash_wall ,Backplash_wallwork,Material_backsplash,Plumbing,sinki,Elektrik,Wiring_surface,wiring_conceal,Kerja_mengecat,Kos_upah,Kos_keseluruhan
Perempuan,Bujang,Perak,"M40 ( RM4,360 - RM 9,619 )",Apartmen,20,2098,300,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,L �??shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",13,10,3,4,2,Fridge;Oven;Microwave;Stove,MDF Board Panel,Handle Knob,Ya,Konkrit dan Tiles,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tidak,8000,10776
Perempuan,Bujang,Perak,B40 ( < RM 4360 ),Apartmen,10,2311,200,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Tidak,L �??shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",15,10,3,4,2,Fridge;Oven;Microwave;Stove,MDF Board Panel,Handle Knob,Ya,Konkrit dan Tiles,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Ya,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Tidak,8000,10333
Perempuan,Kahwin,Perak,"M40 ( RM4,360 - RM 9,619 )",Apartmen,30,2341,233,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,L �??shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",12,9,3,4,2,Fridge;Oven;Microwave;Stove,MDF Board Panel,Handle Potong 45 Degree,Ya,Konkrit dan Tiles,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tidak,6400,12000
Perempuan,Bercerai,Perak,"T20 ( > RM 9,619 )",Apartmen,20,2311,211,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,L �??shape,Base unit;wall unit,13,9,3,2.5,2,Oven;Microwave;Stove,Solid Plywood c/w HPL Laminated (Blockboard),Handle Hidden,Ya,Konkrit dan Tiles,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tidak,6700,9000
Perempuan,Kahwin,Kedah,B40 ( < RM 4360 ),Apartmen,20,2000,170,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,single Wall shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",10,10,3,2.5,2,Oven;Microwave;Stove,Solid Plywood c/w HPL Laminated (Blockboard),Handle Potong 45 Degree,Ya,Konkrit dan Tiles,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tidak,7600,9000
Perempuan,Bujang,Kedah,"M40 ( RM4,360 - RM 9,619 )",Apartmen,20,2300,251,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Tidak,U- shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",12,9,3,2.5,2,Oven;Microwave;Stove,Solid Plywood c/w HPL Laminated (Blockboard),Handle Knob,Ya,Konkrit dan Tiles,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Tunggal,Ya,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Tidak,8000,10000
Perempuan,Bujang,Kedah,"M40 ( RM4,360 - RM 9,619 )",Apartmen,10,2076,300,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,U- shape,Base unit;wall unit,13,10,3,2.5,2,Oven;Microwave;Stove,Solid Plywood c/w HPL Laminated (Blockboard),Tic �?? tac / Tekan Untuk Buka,Ya,Konkrit dan Tiles,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Tunggal,Tidak,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Tidak,7600,9002
Perempuan,Bujang,Kedah,B40 ( < RM 4360 ),Apartmen,5,2977,280,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,Island,"Base unit;wall unit;Tall unit(Oven,Microwave)",15,10,3,4,2,Fridge;Oven;Microwave;Stove,Solid Plywood c/w HPL Laminated (Blockboard),Handle Hidden,Ya,Kompacplus (Jenama Table Top),Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Berkembar,Ya,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Tidak,8000,10321
Perempuan,Bercerai,Perlis,B40 ( < RM 4360 ),Apartmen,10,1276,190,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,U- shape,Base unit;wall unit,10,10,3,2.5,0,Stove,Solid Plywood c/w HPL Laminated (Blockboard),Tic �?? tac / Tekan Untuk Buka,Ya,Kompacplus (Jenama Table Top),Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Ya,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Tidak,7001,8932
Perempuan,Kahwin,Perlis,"M40 ( RM4,360 - RM 9,619 )",Apartmen,10,2000,200,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,G- Shape,Base unit;wall unit,13,10,3,4,0,Stove,Solid Plywood c/w HPL Laminated (Blockboard),Handle Knob,Ya,Kompacplus (Jenama Table Top),Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tidak,7800,9764
Perempuan,Kahwin,Perlis,"M40 ( RM4,360 - RM 9,619 )",Apartmen,10,2096,240,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,G- Shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",13,10,3,4,2,Oven;Microwave;Stove,4G Glass Door,Tic �?? tac / Tekan Untuk Buka,Ya,Kompacplus (Jenama Table Top),Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,"Quartz, Granite & Marble (Stone)",Ya,Sinki Berkembar,Ya,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Tidak,8064,10888
Perempuan,Kahwin,Perlis,"T20 ( > RM 9,619 )",Kondominium,20,2110,100,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,U- shape,Base unit;wall unit,10,10,3,2.5,0,Stove,Melamine,Tic �?? tac / Tekan Untuk Buka,Ya,Konkrit dan Tiles,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Berkembar,Tidak,Tiada,Tiada,Tidak,4000,5000
Perempuan,Kahwin,Perlis,"T20 ( > RM 9,619 )",Kondominium,20,1291,100,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,G- Shape,Base unit;wall unit,10,10,3,2.5,0,Stove,Solid Plywood c/w HPL Laminated (Blockboard),Handle Aluminium Built-in,Ya,Kompacplus (Jenama Table Top),Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Berkembar,Tidak,Tiada,Tiada,Tidak,4032,6003
Perempuan,Kahwin,Perlis,"T20 ( > RM 9,619 )",Kondominium,20,1571,130,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,single Wall shape,Base unit;wall unit,10,10,3,4,0,Stove,Solid Wood,Handle Hidden,Ya,Solid Surface,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Tunggal,Tidak,Tiada,Tiada,Tidak,4021,6000
Perempuan,Bujang,Perlis,"T20 ( > RM 9,619 )",Kondominium,20,1576,160,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,U- shape,Base unit;wall unit,10,10,3,2.5,0,Stove,4G Glass Door,Tic �?? tac / Tekan Untuk Buka,Ya,"Quartz, Granite & Marble ( Stone)",Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Tidak,Tiada,Tiada,Tidak,4022,6500
Perempuan,Bujang,Perlis,"T20 ( > RM 9,619 )",Kondominium,20,1564,180,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Tidak,Peninsular,Base unit;wall unit,12,9,3,2.5,0,Stove,4G Glass Door,Handle Potong 45 Degree,Ya,Kompacplus (Jenama Table Top),Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Berkembar,Tidak,Tiada,Tiada,Tidak,4077,9000
Perempuan,Bujang,Pulau Pinang,"T20 ( > RM 9,619 )",Kondominium,20,1794,186,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Tidak,single Wall shape,Base unit;wall unit,10,10,3,2.5,0,Stove,Solid Wood,Handle Hidden,Ya,Solid Surface,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Tidak,Tiada,Tiada,Ya,5033,9231
Perempuan,Kahwin,Pulau Pinang,"M40 ( RM4,360 - RM 9,619 )",Kondominium,20,1675,180,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,G- Shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",12,9,3,4,2,Fridge;Oven;Microwave;Stove,Solid Wood,Handle Knob,Ya,Solid Surface,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,5034,9043
Perempuan,Kahwin,Pulau Pinang,"T20 ( > RM 9,619 )",Kondominium,20,1798,190,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,single Wall shape,Base unit;wall unit,12,9,3,4,0,Stove,Solid Wood,Handle Hidden,Ya,Solid Surface,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Tunggal,Tidak,Tiada,Tiada,Tidak,3987,5003
Perempuan,Kahwin,Pulau Pinang,"T20 ( > RM 9,619 )",Kondominium,20,2311,200,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,single Wall shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",10,10,3,4,2,Fridge;Oven;Microwave;Stove,Solid Wood,Tic �?? tac / Tekan Untuk Buka,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kayu,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tidak,5877,9877
Perempuan,Kahwin,Pulau Pinang,"T20 ( > RM 9,619 )",Kondominium,20,1985,200,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Tidak,single Wall shape,Base unit;wall unit,7,7,3,4,0,Stove,Sibu / Perforated Aluminium,Handle Hidden,Ya,Kompacplus (Jenama Table Top),Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Berkembar,Tidak,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Tidak,3240,5034
Perempuan,Kahwin,Pulau Pinang,"T20 ( > RM 9,619 )",Kondominium,10,1509,100,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Tidak,single Wall shape,Base unit;wall unit,7,7,3,2.5,0,Stove,MDF Board Panel,Handle Potong 45 Degree,Ya,Kompacplus (Jenama Table Top),Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,"Quartz, Granite & Marble (Stone)",Ya,Sinki Berkembar,Tidak,Tiada,Tiada,Tidak,3999,6075
Perempuan,Kahwin,Selangor,"T20 ( > RM 9,619 )",Kondominium,30,1571,200,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,single Wall shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",12,9,3,4,2,Oven;Microwave;Stove,4G Glass Door,Handle Hidden,Ya,Kompacplus (Jenama Table Top),Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Ya,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Tidak,4300,9021
Perempuan,Kahwin,Selangor,"T20 ( > RM 9,619 )",Kondominium,20,1508,190,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,single Wall shape,Base unit;wall unit,6,6,3,2.5,0,Stove,4G Glass Door,Handle Potong 45 Degree,Ya,Solid Surface,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Tunggal,Tidak,Tiada,Tiada,Tidak,2902,6004
Perempuan,Bujang,Selangor,"T20 ( > RM 9,619 )",Kondominium,20,1564,190,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,U- shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",10,10,3,2.5,2,Oven;Microwave;Stove,Solid Plywood c/w HPL Laminated (Blockboard),Tic �?? tac / Tekan Untuk Buka,Ya,Solid Surface,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Berkembar,Ya,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Tidak,4021,8001
Perempuan,Kahwin,Selangor,"T20 ( > RM 9,619 )",Kondominium,10,1453,202,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,single Wall shape,Base unit;wall unit,10,10,3,2.5,0,Stove,4G Glass Door,Handle Hidden,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Berkembar,Tidak,Tiada,Tiada,Tidak,3400,5000
Perempuan,Kahwin,Selangor,"T20 ( > RM 9,619 )",Kondominium,20,1854,200,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Tidak,U- shape,Base unit;wall unit,12,12,3,2.5,0,Stove,4G Glass Door,Tic �?? tac / Tekan Untuk Buka,Ya,Konkrit dan Tiles,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kayu,Ya,Sinki Tunggal,Tidak,Tiada,Tiada,Tidak,4032,6032
Perempuan,Kahwin,Selangor,"T20 ( > RM 9,619 )",Kondominium,20,1543,204,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,Linear shape (galley),"Base unit;wall unit;Tall unit(Oven,Microwave)",12,12,3,4,2,Fridge;Oven;Microwave;Stove,Melamine,Handle Knob,Ya,Solid Surface,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tidak,5234,9766
Perempuan,Kahwin,Selangor,"T20 ( > RM 9,619 )",Kondominium,30,1897,186,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,Linear shape (galley),"Base unit;wall unit;Tall unit(Oven,Microwave)",12,12,3,2.5,2,Fridge;Oven;Microwave;Stove,Solid Plywood c/w HPL Laminated (Blockboard),Handle Potong 45 Degree,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,"Quartz, Granite & Marble (Stone)",Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tidak,7087,10453
Perempuan,Kahwin,Selangor,"T20 ( > RM 9,619 )",Kondominium,30,2311,280,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Tidak,Linear shape (galley),"Base unit;wall unit;Tall unit(Oven,Microwave)",15,15,15,2.5,2,Oven;Microwave;Stove,4G Glass Door,Handle Hidden,Ya,"Quartz, Granite & Marble ( Stone)",Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,"Quartz, Granite & Marble (Stone)",Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tidak,7098,10987
Perempuan,Kahwin,Selangor,"T20 ( > RM 9,619 )",Kondominium,30,1453,200,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Tidak,Peninsular,"Base unit;wall unit;Tall unit(Oven,Microwave)",10,10,3,4,2,Fridge;Oven;Microwave;Stove,MDF Board Panel,Handle Potong 45 Degree,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kayu,Ya,Sinki Tunggal,Ya,Tiada,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tidak,4788,6088
Perempuan,Kahwin,Selangor,"T20 ( > RM 9,619 )",Kondominium,20,1564,180,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,U- shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",10,10,3,4,2,Oven;Microwave;Stove,Solid Wood,Handle Potong 45 Degree,Ya,Konkrit dan Tiles,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kayu,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tidak,4532,6043
Perempuan,Kahwin,Pahang,"T20 ( > RM 9,619 )",Kondominium,20,1765,200,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,U- shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",12,12,3,4,2,Fridge;Oven;Microwave;Stove,Melamine,Tic �?? tac / Tekan Untuk Buka,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kayu,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tidak,4003,6744
Perempuan,Kahwin,Selangor,"M40 ( RM4,360 - RM 9,619 )",Kondominium,20,1764,200,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,single Wall shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",10,10,3,2.5,2,Oven;Microwave;Stove,4G Glass Door,Handle Potong 45 Degree,Ya,Konkrit dan Tiles,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tidak,5932,9875
Perempuan,Kahwin,Selangor,"M40 ( RM4,360 - RM 9,619 )",Kondominium,10,1986,201,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,single Wall shape,Base unit;wall unit,10,10,3,2.5,0,Stove,MDF Board Panel,Handle Potong 45 Degree,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tidak,3987,5989
Perempuan,Kahwin,Wilayah Persekutuan,"M40 ( RM4,360 - RM 9,619 )",Kondominium,20,1899,200,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,G- Shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",15,10,3,4,2,Fridge;Oven;Microwave;Stove,Melamine,Handle Potong 45 Degree,Ya,Konkrit dan Tiles,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Berkembar,Ya,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Tidak,4056,7004
Perempuan,Kahwin,Wilayah Persekutuan,"T20 ( > RM 9,619 )",Kondominium,30,1987,204,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,L �??shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",12,9,3,2.5,2,Oven;Microwave;Stove,Solid Wood,Handle Hidden,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kayu,Ya,Sinki Berkembar,Ya,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Tidak,3987,7000
Perempuan,Kahwin,Wilayah Persekutuan,"T20 ( > RM 9,619 )",Kondominium,10,1765,200,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,U- shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",9,9,3,2.5,2,Oven;Microwave;Stove,4G Glass Door,Tic �?? tac / Tekan Untuk Buka,Ya,Konkrit dan Tiles,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kayu,Ya,Sinki Tunggal,Ya,Tiada,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tidak,3762,6003
Perempuan,Kahwin,Wilayah Persekutuan,"M40 ( RM4,360 - RM 9,619 )",Kondominium,10,1786,200,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,Peninsular,"Base unit;wall unit;Tall unit(Oven,Microwave)",12,12,3,2.5,2,Fridge;Oven;Microwave;Stove,Solid Plywood c/w HPL Laminated (Blockboard),Handle Hidden,Ya,Konkrit dan Tiles,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Tunggal,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tidak,3500,5999
Perempuan,Kahwin,Wilayah Persekutuan,"M40 ( RM4,360 - RM 9,619 )",Kondominium,5,1785,202,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Tidak,Peninsular,"Base unit;wall unit;Tall unit(Oven,Microwave)",15,10,3,4,2,Fridge;Oven;Microwave;Stove,MDF Board Panel,Handle Potong 45 Degree,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kayu,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tidak,4500,9000
Perempuan,Bujang,Wilayah Persekutuan,"M40 ( RM4,360 - RM 9,619 )",Kondominium,10,1964,200,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,Peninsular,"Base unit;wall unit;Tall unit(Oven,Microwave)",15,10,3,4,2,Fridge;Oven;Microwave;Stove,4G Glass Door,Tic �?? tac / Tekan Untuk Buka,Ya,"Quartz, Granite & Marble ( Stone)",Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Tunggal,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tidak,4221,8003
Perempuan,Kahwin,Wilayah Persekutuan,"T20 ( > RM 9,619 )",Kondominium,5,1897,200,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Tidak,Peninsular,"Base unit;wall unit;Tall unit(Oven,Microwave)",10,10,3,2.5,2,Fridge;Oven;Microwave;Stove,Solid Wood,Handle Potong 45 Degree,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tidak,4293,9008
Perempuan,Kahwin,Wilayah Persekutuan,"M40 ( RM4,360 - RM 9,619 )",Kondominium,5,1899,200,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,Peninsular,"Base unit;wall unit;Tall unit(Oven,Microwave)",12,9,3,4,2,Fridge;Oven;Microwave;Stove,4G Glass Door,Tic �?? tac / Tekan Untuk Buka,Ya,Solid Surface,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,4003,7995
Lelaki,Kahwin,Negeri Sembilan,"M40 ( RM4,360 - RM 9,619 )",Banglo,10,4000,500,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Marmar atau Granit (Natural Stones),Ya,Siling kapur/siling plaster,Ya,single Wall shape,Base unit;wall unit,15,15,3,4,2,Fridge;Oven;Microwave;Stove,Melamine,Handle Potong 45 Degree,Ya,"Quartz, Granite & Marble ( Stone)",Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,13000,19000
Perempuan,Kahwin,Wilayah Persekutuan,"M40 ( RM4,360 - RM 9,619 )",Banglo,20,4000,500,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Marmar atau Granit (Natural Stones),Ya,Siling PVC,Ya,G- Shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",15,15,3,4,2,Fridge;Oven;Microwave;Stove,Sibu / Perforated Aluminium,Tic �?? tac / Tekan Untuk Buka,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,15000,21000
Perempuan,Bercerai,Negeri Sembilan,"T20 ( > RM 9,619 )",Banglo,30,4000,500,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Mozek seramik atau porselin,Ya,Siling PVC,Ya,G- Shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",16,12,3,4,2,Fridge;Oven;Microwave;Stove,Sibu / Perforated Aluminium,Tic �?? tac / Tekan Untuk Buka,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kayu,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tidak,13987,21098
Perempuan,Bercerai,Negeri Sembilan,"T20 ( > RM 9,619 )",Banglo,30,4000,500,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Mozek seramik atau porselin,Ya,Siling PVC,Ya,G- Shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",15,12,3,4,2,Fridge;Oven;Microwave;Stove,Sibu / Perforated Aluminium,Tic �?? tac / Tekan Untuk Buka,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kayu,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,13000,21002
Lelaki,Bujang,Negeri Sembilan,"T20 ( > RM 9,619 )",Banglo,5,4500,500,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Kaca,Ya,Siling kapur/siling plaster,Ya,G- Shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",15,12,3,4,2,Fridge;Oven;Microwave;Stove,Sibu / Perforated Aluminium,Tic �?? tac / Tekan Untuk Buka,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,"Quartz, Granite & Marble (Stone)",Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tidak,14000,22000
Lelaki,Kahwin,Negeri Sembilan,"T20 ( > RM 9,619 )",Banglo,5,4000,500,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Kaca,Ya,Siling kapur/siling plaster,Ya,G- Shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",15,15,3,4,2,Fridge;Oven;Microwave;Stove,Sibu / Perforated Aluminium,Tic �?? tac / Tekan Untuk Buka,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,13700,21000
